Order_ID,Order_Date,Year,Month,Quarter,Product_Name,Category,Region,Customer_Type,Payment_Method,Quantity,Unit_Price,Total_Sales
1001,06-08-2023,2023,August,3,Laptop,Electronics,Chennai,Premimum,Card,2,50353,100706
1002,06-06-2022,2022,June,2,Headphones,Electronics,Delhi,New,UPI,2,2008,4016
1004,20-06-2023,2023,June,2,Watch,Other,Pune,Premimum,Card,2,10072,20144
1005,03-11-2024,2024,November,4,Mobile Case,Other,Pune,New,UPI,2,920,1840
1005,13-01-2023,2023,January,1,Mobile Case,Other,Pune,New,UPI,2,920,1840
1005,06-04-2023,2023,April,2,Mobile Case,Other,Pune,New,UPI,2,920,1840
1006,23-06-2022,2022,June,2,Tablet,Electronics,Delhi,Returning,COD,1,13225,13225
1006,11-03-2023,2023,March,1,Tablet,Electronics,Delhi,Returning,COD,1,13225,13225
1006,13-10-2024,2024,October,4,Tablet,Electronics,Delhi,Returning,COD,1,13225,13225
1006,18-12-2023,2023,December,4,Tablet,Electronics,Delhi,Returning,COD,1,13225,13225
1007,21-01-2023,2023,January,1,Book,Books,Hyderabad,Premimum,UPI,3,621,1863
1008,06-08-2023,2023,August,3,Backpack,Fashion,Bangalore,New,COD,2,905,1810
1008,29-05-2023,2023,May,2,Backpack,Fashion,Bangalore,New,COD,2,905,1810
1008,14-12-2023,2023,December,4,Backpack,Fashion,Bangalore,New,COD,2,905,1810
1008,16-10-2024,2024,October,4,Backpack,Fashion,Bangalore,New,COD,2,905,1810
1009,05-05-2022,2022,May,2,Smartwatch,Electronics,Hyderabad,Returning,Card,1,8563,8563
1009,18-01-2023,2023,January,1,Smartwatch,Electronics,Hyderabad,Returning,Card,1,8563,8563
1009,19-12-2022,2022,December,4,Smartwatch,Electronics,Hyderabad,Returning,Card,1,8563,8563
1010,23-07-2023,2023,July,3,Water Bottle,Other,Chennai,New,UPI,1,268,268
1010,31-08-2023,2023,August,3,Water Bottle,Other,Chennai,New,UPI,1,268,268
1010,22-04-2023,2023,April,2,Water Bottle,Other,Chennai,New,UPI,1,268,268
1010,13-08-2023,2023,August,3,Water Bottle,Other,Chennai,New,UPI,1,268,268
1011,23-08-2022,2022,August,3,Laptop,Electronics,Hyderabad,Returning,Card,2,54018,108036
1011,21-04-2022,2022,April,2,Laptop,Electronics,Hyderabad,Returning,Card,2,54018,108036
1011,05-03-2023,2023,March,1,Laptop,Electronics,Hyderabad,Returning,Card,2,54018,108036
1011,03-04-2022,2022,April,2,Laptop,Electronics,Hyderabad,Returning,Card,2,54018,108036
1012,30-07-2022,2022,July,3,Headphones,Electronics,Delhi,Returning,UPI,3,4762,14286
1013,02-09-2023,2023,September,3,Shoes,Fashion,Pune,Returning,COD,2,4880,9760
1013,03-09-2023,2023,September,3,Shoes,Fashion,Pune,Returning,COD,2,4880,9760
1013,11-03-2023,2023,March,1,Shoes,Fashion,Pune,Returning,COD,2,4880,9760
1014,04-09-2022,2022,September,3,Watch,Other,Chennai,Returning,Card,1,8508,8508
1014,02-12-2024,2024,December,4,Watch,Other,Chennai,Returning,Card,1,8508,8508
1014,22-02-2023,2023,February,1,Watch,Other,Chennai,Returning,Card,1,8508,8508
1015,14-11-2022,2022,November,4,Mobile Case,Other,Chennai,New,UPI,4,119,476
1015,09-12-2023,2023,December,4,Mobile Case,Other,Chennai,New,UPI,4,119,476
1015,28-05-2022,2022,May,2,Mobile Case,Other,Chennai,New,UPI,4,119,476
1015,14-06-2024,2024,June,2,Mobile Case,Other,Chennai,New,UPI,4,119,476
1016,18-04-2022,2022,April,2,Tablet,Electronics,Mumbai,New,COD,1,37589,37589
